Gene,log2FC,pvalue
CCDC40,-0.125967575,0.442159892
KIN,0.153993014,0.177384099
RBCK1,0.338571564,0.000404181
ZNF225,-0.084286387,0.532042768
CENPX,0.407712739,0.000358984
CSNK2A3,-0.121225497,0.478087246
VANGL1,-0.075103272,0.047705299
MARCKS,0.122682352,0.110818528
DEF6,0.088455046,0.340949303
ACTG2,0.04767002,0.51826275
LIN54,-0.0787728,0.2316527
FBXO24,0.111700075,0.303235616
ITGB1BP2,0.084881391,0.525975764
SDHB,0.293636512,9.87E-06
HSD17B13,0.073184882,0.417675061
UBASH3A,-0.058250261,0.737304496
TP53RK,0.149734825,0.037599201
FAM198B,-0.074627135,0.642661187
AGO3,-0.237016716,0.004500239
CTRL,0.069952932,0.419784885
AKR1C3,0.380232137,8.84E-06
P4HA3,-0.023775858,0.718156337
AK9,0.218163081,0.219585817
MPZL1,0.299586165,9.05E-10
C5orf63,0.151914652,0.363066304
AC017083.4,-0.321957941,0.066947402
MUTYH,0.084019089,0.45775792
TTC14,0.296170291,7.95E-05
TMEM161A,0.406188886,0.005581566
TIGD1,-0.104088235,0.529786094
ECHS1,0.133486107,0.046705976
AC004922.1,0.272570895,0.123901184
SP140L,0.139287087,0.167907067
AL360181.5,0.021852453,0.877919026
ATP6V1G1,0.160577276,0.025224283
ZNF184,0.083050121,0.258437174
HDAC10,0.317186955,0.030655331
RNF167,0.255708005,1.40E-06
PHF23,0.037499824,0.636529728
MRPS33,0.302199029,0.001496228
C11orf57,0.168184915,0.006807325
CHMP1A,0.263798898,0.001076172
CRLS1,0.319747113,1.30E-05
KLC1,-0.053722987,0.479564526
SMYD5,0.121837166,0.133046396
ARID3A,0.079303514,0.424972997
PIK3C3,0.042878244,0.525478514
AL022318.4,0.039063302,0.811827254
TSC2,0.1520666,0.115732405
ADAM10,-0.01072294,0.81928574
UBQLN1,-0.007636267,0.865479771
MRPL23,0.285404508,0.002261372
UBE2F-SCLY,-0.052415275,0.760608052
CD1A,0.047711831,0.304591169
CYP2R1,0.169352648,0.049257321
UBE2F,0.253743106,0.003380348
ZNF226,0.190612337,0.123159781
CYP2J2,0.047838677,0.497879181
TRIM35,0.159539849,0.037547373
C19orf25,0.323361046,0.008809091
AC098484.3,-0.214072839,0.165209324
CCDC106,0.137616296,0.236761707
NDUFC2,0.168939213,0.09233569
SLC15A4,0.091943413,0.404765732
RAB11B,0.188446397,0.014158464
ARPC5,0.259164057,2.12E-08
NFKBIZ,0.071586678,0.538080311
RAG1,-0.061659606,0.147513488
LY6G5C,0.131752493,0.450372935
USP40,0.069499314,0.242116697
PRPF31,0.157752116,0.018687086
COPS4,0.285883632,1.28E-05
FADS1,0.27040243,3.19E-09
GNMT,0.089681246,0.425122999
SPTBN4,-0.095157699,0.55160303
GBP3,-0.016735788,0.776593064
CWC15,0.198132639,0.020879584
DIS3,-0.110960834,0.040563902
TIMM21,0.152982638,0.064826429
RAB13,0.050603357,0.463569362
CDR1,0.201947252,0.050344863
ASXL2,-0.305339773,2.04E-06
TMEM63B,0.3432109,0.013311774
ZC3H3,0.216735175,0.082755479
IFT122,-0.062813518,0.444890887
SERINC1,0.197188948,0.003973957
CRTAP,0.162784108,0.004097071
ADAMTS6,-0.060416069,0.654104545
TMEM50A,0.307028611,4.89E-07
BIVM-ERCC5,0.062505582,0.364927266
TMEM260,-0.034258054,0.781354672
DUSP9,-0.086382482,0.601807686
NTPCR,-0.039408669,0.554247475
AC010531.1,0.15221616,0.277053545
GIT2,-0.024777794,0.684502851
MRPS30,0.024511977,0.678724128
PIGP,0.367727487,2.65E-05
TBCE,0.127816476,0.163560472
MME,0.053394968,0.629084448
GOLGA8A,-0.020617257,0.901027458
FAM221A,0.216032032,0.215426053
NOP53,0.28392441,7.41E-06
TLE3,-0.149766859,0.045297287
RGP1,0.024332937,0.758175757
AMZ2,0.239788889,0.000738328
PRMT1,0.166107638,0.005752301
GCLM,0.021247659,0.720066405
NRAS,0.103322912,0.014904504
AL021546.1,0.201525569,0.190211301
SUSD1,0.037361143,0.713716476
OSM,0.010377447,0.935112988
TESPA1,-0.048438478,0.52486397
PIPOX,0.136615003,0.442251556
NAXD,0.118690841,0.200243521
ZNF492,0.087641238,0.472730149
VRK3,0.265276295,0.000196457
UBQLN4,-0.102614937,0.091330687
TM9SF4,0.046234748,0.484189995
ZFYVE26,-0.047519782,0.573047933
LY6E,0.219261655,0.096251045
LONRF1,0.170604366,0.047452454
BCL2L15,0.02752928,0.805051633
ASAP3,-0.127148962,0.371203468
HNRNPUL2-BSCL2,-0.006943732,0.912045366
LINC00998,0.169372875,0.08783558
ETV2,0.098334389,0.489423951
RP9,0.073328764,0.494670485
SSNA1,0.47051711,1.55E-06
SV2A,0.140859684,0.014732056
CRADD,0.341883399,0.02113602
WASHC5,0.131784446,0.050101342
PYURF,0.282394967,1.25E-05
RPS28,0.310477482,2.98E-07
GDE1,0.134845238,0.041110229
GAN,-0.241966001,0.019534044
E4F1,0.227008881,0.05261545
PAPSS1,0.26516512,2.47E-05
CNTF,-0.056477041,0.734546179
UBE2G2,0.001621303,0.971650928
TECR,0.331391361,2.35E-05
AL662899.3,-0.133503353,0.448368772
RNF149,0.14453336,0.027061017
BRSK2,0.070122515,0.533944136
PCMTD1,0.250437499,0.000521027
WDR24,0.21770248,0.072870705
DHX57,0.069786752,0.414099944
TAOK3,0.079752685,0.275599533
LYSMD2,0.272482344,0.012897941
EIF3J,0.047018654,0.423201509
MLH1,-0.003419698,0.948964501
GAS8,0.203192011,0.215789406
DNAJC6,0.196256112,0.025706904
TMEM106B,0.089314488,0.131927387
ZNF3,0.140992707,0.068978769
FANCM,-0.056678378,0.537127466
CTH,-0.015264347,0.923186626
PSMD6,0.185650641,0.006746779
MICA,0.102658364,0.548171853
RECQL5,-0.111842715,0.342446514
RNF32,0.102413685,0.563911045
ACAP3,0.27757031,0.039536219
RASSF6,-0.00347176,0.982070971
INPP5A,0.017128094,0.870453658
LSMEM1,-0.070155957,0.59804546
PPP1R1B,0.080894027,0.152066913
VPS29,0.310770706,0.000229017
FAM9B,0.0397974,0.487928583
FHIT,0.08049834,0.543464722
VPS37D,0.11196685,0.447079478
AMDHD1,0.167384867,0.325905272
AC138811.2,-0.089045673,0.545390763
NATD1,0.071931093,0.502238495
DOCK3,0.020618348,0.682855652
CAB39,-0.021642281,0.635751837
MRPS18C,0.108922846,0.268192856
KCNIP3,-0.219327651,0.194042228
ZNF787,-0.047629611,0.679465013
MRPS16,0.170943342,0.000877496
SFN,0.072696423,0.464479035
FUNDC1,0.129031015,0.182883706
TNRC6B,-0.24390768,0.001093084
KIF20B,-0.20713901,0.001996552
ATP5J2,0.280523016,0.000844698
FXR2,0.080503565,0.238623876
DTX3,0.159098113,0.124761597
RNF125,0.268440815,0.06050829
MFN2,-0.104187999,0.036804937
KRT84,0.128469263,0.051581259
TAP2,0.10099291,0.270700383
ZNF706,0.25005693,7.13E-05
RAD51B,0.203966858,0.093405391
KLHL17,0.092135333,0.59323752
LPO,0.039286598,0.4959405
AC037459.1,0.137359947,0.277590845
RAB3D,0.01603594,0.855971213
SEC23IP,-0.045855165,0.423992796
RBMX2,0.125789147,0.079924194
PPP1R2,0.27426157,0.000105408
SLC8B1,0.07703999,0.570225624
ZNF439,0.046848931,0.35746282
DYNC1I2,0.071937328,0.197916323
CTU1,0.470060105,0.004945413
MOB3A,-0.115312093,0.208124483
ACOX3,-0.055895698,0.66322135
ZNF484,-0.01308944,0.931615881
NMD3,0.029421282,0.616322171
SLC25A28,0.238394959,0.048969042
NIT1,0.313474456,0.006767185
CACNB1,-0.189365234,0.18302272
ZC3HAV1,-0.267744346,2.70E-06
DGAT1,0.431969616,0.0010113
EXOSC4,0.297925238,0.011892234
RAPGEF3,0.159765389,0.249487444
RPS16,0.339486747,1.15E-07
NFKB2,0.005721628,0.954476447
UTY,-0.069915828,0.485850027
PSMA7,0.294702072,1.60E-06
KBTBD7,-0.068223138,0.414305794
RETREG3,0.328042131,8.67E-08
HACL1,0.26731061,0.002934538
WDR41,-0.009507049,0.887365204
CRYZ,-0.102050304,0.373224026
DDR1,0.03847232,0.7456553
AP001458.2,0.027517311,0.825687698
OASL,-0.036937336,0.634251716
PINX1,0.137233241,0.221965116
OPRD1,0.004056237,0.968381153
NUBPL,0.130777554,0.323129563
SNRPC,0.079028243,0.267893364
ADORA2B,0.190251181,0.165302003
GARS,0.008948747,0.827826975
HK1,-0.007020868,0.885901032
EIF3C,-0.120055992,0.003491429
LATS2,0.077259331,0.606149261
NRG2,0.049532963,0.70052773
FCGRT,0.325816186,0.001871992
ANAPC5,0.284561044,4.91E-11
ZNHIT3,0.31878021,3.65E-05
NDUFAF1,0.226849288,0.007518354
COX17,0.15267969,0.06164294
BRF2,0.247173928,0.022589562
CTU2,0.065570636,0.631254367
TMEM158,0.215627641,0.103820303
AC008763.3,0.265759309,0.08990663
PQLC3,0.321006812,0.064966357
KANTR,-0.149282906,0.252702713
EMC10,0.273426137,0.002486347
KLHL21,0.030203312,0.725510465
RPS25,0.100461967,0.364215559
PRICKLE4,-0.013618638,0.911861168
EIF3H,0.190177198,1.74E-05
UBE4B,-0.088785724,0.177202424
BRK1,0.255789803,4.51E-06
IFT172,-0.081918944,0.441681997
KLC3,-0.019215266,0.800478298
LLGL2,0.233047868,0.169784779
WDFY2,-0.059607055,0.528513186
PFN1,0.112639875,0.010254208
FAM120B,0.020496786,0.748793739
TOMM20,0.065794793,0.161417249
CAND2,-0.063880287,0.70394038
OTUD7A,-0.069933452,0.690178492
RHOF,0.053522531,0.642105062
HSF4,0.254300899,0.115894785
CHCHD1,0.277545037,0.007330054
MAPKAPK2,0.16447219,0.009792765
SNAI3,-0.051856115,0.486225045
MAP3K12,0.096542838,0.441958117
RPTOR,-0.08617088,0.233047726
ZNF585B,-0.002922197,0.975010942
RFXAP,0.148451507,0.099372967
CORO6,0.099534279,0.394175653
MDH1,0.191964444,0.000252121
GGA2,0.048257387,0.549641693
TAMM41,0.111095108,0.270917441
ASGR1,0.061562253,0.653232783
UTP11,0.045180372,0.470256252
RNF34,0.059680202,0.355179859
MPHOSPH8,0.079725606,0.174143148
LONRF2,0.029624611,0.691067737
PRR29,0.094461423,0.451740847
TRAF7,0.055486616,0.461139646
RNF11,0.240229926,2.28E-05
GGT1,-0.012281558,0.928533054
C7orf50,0.185159779,0.085304476
LRR1,0.139827095,0.06446565
GALT,0.149155323,0.342792883
OAZ1,0.401192135,2.82E-12
NOS1AP,0.020101727,0.732712431
TMA7,0.280301554,0.038600083
GOLIM4,0.027331821,0.805915899
FRG1,0.122608272,0.066948503
APOL3,-0.069104033,0.228147857
AC025594.3,-0.130286356,0.335454949
ENDOV,0.372577804,0.015910848
AIMP1,0.170566814,0.012390486
BMPR1B,0.058633786,0.737105226
NDUFS6,0.082816443,0.255310415
HLA-DOB,-0.074061043,0.399810571
TSTD3,0.0937851,0.517193929
AC002310.5,-0.022774519,0.893940861
SLC38A1,-0.192191076,1.19E-06
SLC25A35,0.204274629,0.227942096
FBXO31,0.131950746,0.124625587
ACSL6,0.044640997,0.721073613
IGF2BP3,-0.066878193,0.363393416
HARS2,0.061092051,0.437573146
PCDHGA6,-0.247208063,0.086755763
THAP8,0.117385663,0.508557892
TULP4,-0.320236987,5.14E-06
SLC9A8,0.104882786,0.423326467
TEX9,0.054649132,0.708904307
PITPNA,0.048622979,0.375987127
MFAP4,0.078061607,0.243502094
EXOSC7,0.123498807,0.070557937
FAM212A,-0.014330325,0.918766941
RBFA,0.208242009,0.031527987
AURKC,0.135312011,0.379199395
FXYD6-FXYD2,0.10248048,0.496865409
MTOR,-0.116443039,0.083494911
C4orf47,0.004039691,0.97483624
MXD3,0.353043608,0.004306254
CHST12,0.258967118,0.04975092
URGCP-MRPS24,-0.212303216,0.214046395
SAMM50,0.201457798,0.000414812
CCDC7,0.106374135,0.533808855
DUSP3,-0.05147286,0.682344482
ZNF460,-0.311054796,0.053635731
GOLGA6L4,0.09561114,0.593072101
CFAP53,0.096313538,0.459628377
SF3B2,0.003182232,0.923070204
PLCB2,0.018556718,0.880703153
KLK14,0.032994701,0.679402615
STX10,0.176767776,0.040020236
B3GAT2,0.210350845,0.134025736
KARS,0.064668178,0.15663264
SCRN1,-0.053481113,0.197938791
OAZ3,-0.023855179,0.88364352
MEIS1,-0.107284086,0.409190988
ZNF512,-0.017096478,0.801897354
ILDR2,-0.284297098,0.001551093
MAP3K11,0.165763949,0.101197142
RPL37,0.086915751,0.496520048
CCDC127,0.151595626,0.09668388
ARHGAP45,0.026401182,0.823526512
UBAC2,0.305414602,4.10E-05
PCDHGB3,-0.063196231,0.523345702
DNHD1,0.133576996,0.454124107
ZNF572,0.198475065,0.165294658
TRIM8,0.050124329,0.601550208
COPS5,0.277068363,5.24E-05
LIMD2,0.121172953,0.170927696
MRPS24,0.487355755,0.000581297
LIPE,0.001581878,0.991488249
MYL12B,0.337422844,7.99E-11
ATP11B,0.004057471,0.948201072
MRPS23,0.158103956,0.029133461
FAM228B,0.060203525,0.696561661
ELMO3,0.166707978,0.261609629
EEFSEC,0.176664961,0.084132237
AK1,0.069906981,0.457918993
ZNF534,-0.010625876,0.930359789
PPP3R1,0.043784473,0.35600308
VPS37A,0.099013217,0.22803303
HCCS,0.222124376,0.005998124
TECPR2,0.074483915,0.426921528
NAGK,0.139006259,0.178073355
HERC1,-0.236460241,0.003335023
DNAJC18,0.134986194,0.170121252
MPP6,-0.297305026,6.54E-07
SEZ6,0.039125744,0.723764815
HEBP2,0.196791611,0.064773487
ETFDH,0.095300935,0.284028193
AMIGO3,0.325358619,0.037677827
POLA2,-0.017926849,0.733584566
RRAS2,0.045832808,0.701413535
BNIPL,0.049708464,0.516622617
AKR1C1,0.090344174,0.443797756
TMEM67,0.080792338,0.533697188
PSMA2,0.257695328,0.000565262
IFRD1,0.028446685,0.703862571
NDUFS4,0.244702939,0.00635258
ICAM1,-0.159527724,0.169668749
TMEM181,-0.011795299,0.849616032
STAC2,0.0752602,0.296576743
PTPRCAP,0.493183454,0.000227283
WDR48,-0.034907175,0.50607359
SSBP1,0.100820791,0.278031983
ZNRF1,0.068831455,0.395332028
USP15,0.209409069,0.002865886
PAM16,0.317623099,0.013364818
SLC22A14,0.017424907,0.739182186
AC105001.2,0.015850164,0.734456998
VARS2,0.175288382,0.0459939
PTGES3L-AARSD1,-0.090074231,0.603244906
CA11,-0.140528085,0.235386492
CCDC6,-0.136835593,0.054378593
MPP2,-0.051485012,0.704663073
NUDT8,0.178277433,0.216324939
SIRT3,0.166715193,0.189449278
ZNF671,0.13252064,0.274315026
EIF5A,0.090845689,0.041186024
INPP4A,0.000561471,0.993825321
RRNAD1,0.275497773,0.018279252
CDC42,0.204091639,0.000406261
SYS1,0.331788628,0.000413825
AL139260.3,0.235985175,0.18219413
ZNF2,-0.078515847,0.598302451
PLEKHG4,-0.126621062,0.327920851
TTC8,0.107638817,0.529986675
EPG5,-0.17942094,0.009846362
VNN2,-0.003594819,0.986273745
TNFAIP3,-0.189027277,0.011388156
HBB,0.063106788,0.721130553
AL357673.1,0.049384407,0.54806752
TNKS2,-0.019550109,0.670941032
AP001781.3,-0.023969131,0.890653157
SPATA25,-0.045816828,0.433519136
TENM1,-0.31696822,0.005702164
CHPT1,0.183882752,0.053500259
PSMD5,-0.00341389,0.96199402
IRF2,0.145085678,0.08859718
CHIC1,-0.205320868,0.126645786
HS1BP3,0.155094739,0.3372679
TEAD2,0,0.989751663
CTNS,0.247224452,0.046287942
PRKD2,-0.069820428,0.454233615
EDA,0.042081508,0.789392325
WIZ,-0.034088031,0.765593039
ELK1,0.221247407,0.002057211
TM2D2,0.498575327,2.16E-08
CHMP6,0.243644939,0.067740775
THBS3,0.214902897,0.214258515
ARID3B,0.199682481,0.232242309
PPP6R2,0.152919149,0.046001447
PDIA2,0.224746028,0.006712928
ZNF133,0.313315452,0.034904288
ZBTB17,0.105735558,0.256442285
LAMB3,0.015805978,0.735118782
ZCWPW2,0.171652576,0.256091046
HSFX1,-0.016213358,0.75902418
SLU7,0.088550399,0.095780744
SDHD,0.008530663,0.943410818
HABP4,0.306483966,0.019346468
CHCHD6,0.367420376,0.001255559
RPL38,0.191406776,0.137527837
ANKS6,-0.151284004,0.329638333
DCUN1D2,-0.070331284,0.495085075
CMYA5,-0.105014151,0.548816044
C11orf68,0.328013494,0.011136407
PKM,0.208293316,0.0004005
CBFA2T3,-0.30410313,0.000906365
COX15,-0.003048779,0.956992981
C3,0.051799723,0.417371153
CC2D1B,0.094005064,0.417279869
ACTR2,-0.084216031,0.091100342
AKAP13,-0.284878811,2.78E-06
C1orf27,0.206550778,0.061304446
TECTA,-0.013608792,0.923879151
SEMA3B,0.164095647,0.221123693
TAGLN2,0.10360973,0.096503987
SNX1,0.173126896,0.000193185
GINM1,0.363310135,6.71E-05
C17orf62,0.321802996,4.34E-05
GRP,0.12152569,0.181542525
GSDMD,0.458674622,0.000144564
THAP7,0.283540855,0.003881359
MTMR8,-0.26393303,0.087662177
ZNF672,0.181077737,0.081857344
HSD17B6,0.079378783,0.575519467
IGIP,-0.162606162,0.273133572
ABHD17A,0.46502043,0.000784112
HOOK1,0.017395647,0.74460437
SLC11A1,0.006374201,0.952256283
PPHLN1,0.046785985,0.450578464
SUPT7L,0.169873602,0.019999496
NOL10,-0.139301437,0.059848805
CAPN5,0.305486415,0.067108203
DLK2,0.259636022,0.082809297
CA5B,0.220471467,0.207834269
AC001226.2,0.096760395,0.418046785
LINS1,-0.036502727,0.743559496
PRR4,0.037699987,0.832074938
TOMM40L,0.135949095,0.144489866
NDUFB3,0.127939833,0.218904125
CD46,0.24548971,9.30E-06
MIGA2,0.195677661,0.20277363
BTBD8,-0.151275387,0.260227503
STRN3,-0.119215226,0.125710091
SERTAD2,-0.183091373,0.009709728
ZFAND5,0.000141962,0.997743636
GCC2,-0.054580512,0.519941184
COX6C,0.209413532,0.023537176
PRG2,0.078029059,0.466094736
RTCB,0.109989354,0.029438926
C11orf24,0.263953815,0.057984574
MANEA,-0.00219525,0.980062474
BCHE,0.178655206,0.001782909
KIAA1522,-0.028391359,0.858571517
AP003108.2,0.296227319,0.054019063
TCAP,0.04103328,0.80199839
PSMD4,0.253055407,1.43E-06
PDZK1,0.033350617,0.519667689
MGAT4A,-0.121631042,0.051770447
DCAF13,0.141035777,0.058822518
TMED1,0.270217517,0.051963782
METTL22,0.356692777,0.003621738
GOLGA8R,0.0907268,0.1482141
ZBTB49,0.004690561,0.974234791
NUAK1,-0.035354429,0.512950998
WDR74,0.103321247,0.162532222
PARP1,-0.202799546,1.61E-07
PRDX6,0.21325079,7.51E-05
ATP6V0E1,0.355878948,1.80E-06
NR1H2,0.303438043,0.00027307
TNFRSF1B,0.104158415,0.322728974
SLC2A12,0.00069963,0.988116131
IKBKAP,-0.043030355,0.508207678
SNX2,0.209542002,0.002474779
SOCS1,0.335528317,0.06620959
MAGED4B,0.144332447,0.387288341
LZTR1,0.125044557,0.268751484
FAM58A,0.465038358,8.01E-05
HIBCH,0.111761451,0.223122575
NXPE3,-0.036667922,0.542954605
SS18L2,0.176620185,0.073399258
KIF21A,-0.139669661,0.078072548
TMEM14B,0.296965959,0.00053337
ASF1A,0.178254083,0.013994138
RPLP0,0.490780646,5.19E-16
MAP1LC3B2,0.107552658,0.550761573
CARD9,-0.014722573,0.835657815
C12orf73,0.093841555,0.423618056
LRIT3,0.028930043,0.677532482
OR7D2,0.025747501,0.693564971
EMC1,0.033089826,0.55223305
RNF19A,-0.015215241,0.848789101
AC026786.1,0.078630441,0.49967237
ZNF683,-0.017620924,0.766092003
ZNF324,0.164205659,0.121950776
ARHGAP39,-0.064828404,0.682862416
ARRDC1,0.39465952,0.00678086
CPA5,0.178924307,0.23898634
SDHAF1,0.463978772,0.000117934
CANT1,0.211721425,0.00827104
AP000350.4,0.138965769,0.426687424
FAM200B,-0.057123709,0.644845735
MADCAM1,0.072735324,0.460999936
SLC4A1AP,0.006565824,0.939427013
AP3B1,-0.101806349,0.077173922
NLRC3,-0.01491687,0.900034589
CERS1,0.109487135,0.161691993
ZDHHC4,0.169264757,0.029006134
LUZP6,0.201142292,0.224399347
TIAM2,-0.185495406,0.279027716
LY96,0.148642685,0.3984858
C1orf52,0.198653193,0.0355024
RRP36,0.19507875,0.000732138
MAML3,-0.079347218,0.60839465
CD3G,0.192958026,5.85E-09
PCYT2,0.39736055,0.00018648
COL15A1,0.085380128,0.340750501
SOX11,0.121024178,0.168744077
HS3ST1,0.244593418,0.055132518
GRK4,0.183750024,0.158993419
TRMU,-0.007051461,0.931694797
PAICS,-0.127650858,0.001118426
MC1R,0.28374975,0.034615738
SPATA21,-0.266828885,0.084083968
IQUB,0.043400985,0.478107238
DCTN6,0.091803793,0.313581704
EIF3L,0.109883814,0.002432398
MRPL57,0.22793726,0.00290578
MAP4K5,-0.040316262,0.575366623
SDCCAG8,0.151001523,0.126898147
C2orf42,0.137797169,0.138729749
CDC34,0.231358016,0.011741653
CCR1,0.100367068,0.427504983
CHSY3,0.198833153,0.098033559
LYPLA2,0.168503381,0.088368611
CCDC50,0.102291868,0.209721713
FAM86C1,-0.162532549,0.252579228
MSS51,0.102960493,0.481661823
PIKFYVE,-0.244596138,0.000251585
LAMA5,0.070929793,0.532453836
TBL1X,-0.252157436,2.39E-07
FES,-0.020838646,0.84170167
IDH1,0.28567561,0.00070653
ZNF561,0.098879738,0.225313349
BCCIP,0.089745227,0.146700855
TMEM38B,0.241517722,0.010941584
AC119396.1,-0.346510522,0.010479304
ADAMTS13,0.009356839,0.943409703
CNST,0.031400803,0.660779541
KLRG1,0.023585424,0.892782438
SURF1,0.480408592,5.60E-07
PELO,0.151993,0.083665288
SCARF1,0.065458172,0.529251793
PRKAG1,0.441354694,1.66E-09
TCEA1,0.069185355,0.121721173
GIMAP1-GIMAP5,-0.10356187,0.275984725
USP50,0,0.990402075
LAS1L,-0.000456119,0.99340714
MFSD2A,0.255126946,0.026801
ALG10,-0.165461547,0.10880929
ZNF597,-0.198660176,0.202795223
CACNA1D,0.065911669,0.240383402
TEX29,0.044569563,0.472670838
RPLP1,0.50110565,1.64E-11
CLN5,0.434366251,0.000129636
COPS9,0.105917456,0.305082237
PCDHB11,0.061330493,0.614036554
FAM120AOS,0.108631818,0.11467931
MIF4GD,0.143003966,0.161933726
DDX6,-0.177943673,0.004611078
ZNF146,-0.097179789,0.0971417
SETD6,-0.219416015,0.084316799
JAGN1,0.398555461,1.30E-07
PDPK1,-0.101611674,0.166723916
UPK2,0.062594786,0.348813027
ZNF619,0.005462877,0.956622049
FRY,-0.113362133,0.389163835
IL10RB,0.357671784,2.19E-05
EIF3B,-0.139750914,0.000590416
ACADM,0.095474137,0.112291888
LTBP2,-0.072638825,0.427932252
SLC25A19,0.033230354,0.72954297
UHRF1BP1L,0.06139035,0.455453533
BTN2A1,0.082131308,0.31044194
NDUFB10,0.295505829,1.39E-06
CCDC122,0.008331256,0.963075415
PPP4C,0.425301176,1.90E-08
CTNND1,-0.103920078,0.451288519
TMEM140,-0.039123437,0.786189257
BCAS3,0.335426313,0.002540379
C6orf52,0.183241436,0.270748436
TRAPPC3,0.329240883,9.36E-06
TMEM147,0.485220054,7.89E-08
LRP12,0.009959069,0.909047464
PROX1,-0.119020187,0.443288273
C7orf61,-0.021036194,0.897458124
ZNF410,0.184038475,0.008829018
CD81,0.253042747,0.000629373
TSR3,0.324285162,0.001941833
LRP11,0.136351957,0.019396025
SNX20,0.130123848,0.176109716
MYH15,-0.157247598,0.206745547
PEBP1,0.244040567,1.87E-06
METTL15,-0.063944268,0.443987005
POLR2L,0.375763899,1.23E-06
KIAA1429,-0.097294059,0.09247455
TAF7,0.139828313,0.018069201
CAPS2,0.138315024,0.398775922
TRAPPC2,0.101333367,0.301890627
DNASE1,-0.121668389,0.227597767
C19orf48,0.168797219,0.057553204
PAIP2,0.242268272,1.65E-06
SDR39U1,0.299468365,0.005123197
ARHGAP25,0.022161465,0.900922904
S100A5,0.015007639,0.918871608
RALGAPB,-0.092606047,0.097304582
PTPN6,-0.018102047,0.847099509
PEX6,0.226532641,0.018392375
IGBP1,0.260106284,7.15E-05
TIMM10,0.185713749,0.048274831
AMPD3,0.056139514,0.73090376
CEP104,-0.052150655,0.437743028
BICD2,0.012475865,0.84434968
BMS1,-0.172723258,0.005865778
HHIP,-0.294178063,0.084532149
DHX16,0.001137722,0.984212248
AC004223.3,0.062373384,0.674604223
DDA1,0.242793684,7.42E-05
WASHC3,0.448809423,3.45E-07
MLX,0.21706975,8.42E-05
FXYD6,-0.026075726,0.68426112
DNAH12,-0.033818655,0.690998469
UACA,0.081970528,0.324769133
AC025165.3,0.097166801,0.466868808
RPUSD4,0.145967617,0.093939532
SAP130,-0.047677962,0.553503359
URM1,0.163259363,0.010172599
ZNF330,-0.018931102,0.822107405
IPO4,-0.084528542,0.267481298
FGFR1OP2,-0.011002299,0.838658647
GK5,-0.179959677,0.027690182
PRH1,0.210589027,0.230983486
TMEM135,0.09238469,0.209799804
CPD,0.036486047,0.475820092
C2orf49,0.079345872,0.284037186
APBB1IP,-0.235509753,1.58E-05
CHD9,-0.302093821,2.15E-05
TM7SF3,0.163683803,0.004453547
BAALC,0.070041213,0.451001547
LANCL2,-0.038761537,0.607232027
CRY2,0.164286588,0.134526443
CTSC,0.15204575,0.020839341
MAST1,-0.026439697,0.852806962
UQCRC1,0.29932521,9.81E-08
SPICE1,0.032190351,0.725055999
DCAF8,0.063515921,0.276778277
PPP1CA,0.323232341,2.04E-06
SPIN2B,0.025887809,0.859271561
SUSD4,0.027901812,0.732140559
GRINA,0.314308141,0.014352033
ATP5EP2,0.215788261,0.122211009
TACO1,0.18960589,0.030120976
HPDL,0.062395937,0.718959873
CFAP73,0.136507365,0.355104945
RPS24,0.129928394,0.197638872
FAM122C,0.243613359,0.124998968
PRDX1,0.034338347,0.558873038
METTL21A,0.024069662,0.790657939
ZNF865,0.230021027,0.103625736
TMUB1,0.343898313,0.007736951
SLIRP,0.065751359,0.639356798
CHURC1,0.01300748,0.891200893
SLC39A9,0.143676205,0.008324217
GPR55,-0.007890654,0.945303524
TOP2B,-0.190555891,0.000174632
AC010422.5,0.002719047,0.984443223
AC007040.2,0.039857364,0.763381294
EIF2D,0.262903158,3.89E-05
KLHL24,0.067161285,0.321840531
CDRT1,0.21322659,0.083671085
RGL2,0.125367181,0.349638897
HEPACAM,0.038320044,0.54631321
TTC38,-0.020529452,0.893252801
LMNTD2,0.121884622,0.450538262
CDHR2,-0.018348235,0.743746764
THBS2,0.020326531,0.724205788
HCFC2,0.140438845,0.136961535
ATG16L1,0.058593738,0.551110467
DHX33,-0.192670662,0.000239982
BEST1,0.037847345,0.828976624
HEATR5B,0.010670283,0.91201897
CLPTM1,0.271015119,0.000209697
TAS2R14,0.225817918,0.217788434
FBXO9,0.162443075,0.014613609
ATP6V0E2,0.304245978,0.000192177
HIST1H2BD,0.214777531,0.127057791
PSMB5,0.155574376,0.025364963
LYL1,0.04638698,0.677402548
TUFM,0.190394267,0.000138812
FBXO46,0.184877083,0.064384961
CAMK2B,0.02079656,0.860709108
PUDP,0.025174373,0.755144772
MSL3,0.031141449,0.668471011
MED6,0.159710555,0.02777621
PSMC1,0.235111883,6.90E-05
AP002748.4,-0.058796034,0.723776369
RNF2,0.046717714,0.485549803
TNIP1,0.07302989,0.288566407
QARS,0.10561395,0.00838755
ATP5S,0.118356125,0.209883513
ZW10,0.096559805,0.151922247
GLB1,0.364551322,5.49E-08
DCTN5,0.033195268,0.534898472
AGMAT,-0.03338736,0.773830767
ABHD14A,0.305170386,0.045427086
ZBTB6,0.00685674,0.944318631
KDM7A,-0.038354953,0.631787716
